Municipality Name	Email Address	Responsible Person (Role)	Phone Number	Notes
Albi	ufficio.amministrativo@comune.albi.cz.it	RESP. AREA AMMINISTRATIVA	0961/923303	Area Amministrativa is responsible for Personale 
Amaroni	protocollo@comunediamaroni.it	Antonietta Carminitana (Protocollo e Affari Generali)	0961913030	Protocollo e Affari Generali 
Amato	protocollo.amato@asmepec.it	Segreteria Comunale (General Secretariat)	0961 068085	General contact, inquire for Ufficio Personale 
Andali	protocollo@pec.comunediandali.it	Sindaco (Mayor)	0961.935095	General contact, inquire for Ufficio Personale 
Argusto	sindaco@pec.comuneargusto.it	Sindaco (Mayor)	0967 91081	General contact, inquire for Ufficio Personale 
Badolato	amministrativo.comunebadolato@asmepec.it	Commissario Prefettizio (Prefectural Commissioner)	+39 0967 85000	General contact, inquire for Ufficio Personale 
Belcastro	protocollo.belcastro@asmepec.it	Sindaco (Mayor)	0961 932090	General contact, inquire for Ufficio Personale 
Borgia	protocollo.borgia@asmepec.it	Sindaco (Mayor)	0961/951357	General contact, inquire for Ufficio Personale 
Botricello	personalebotricello@virgilio.it	Galli Alfredo (Responsabile del procedimento)	0961 967211 int.224	Servizio Personale 
Caraffa di Catanzaro	protocollo.caraffacz@asmepec.it	Ufficio Amministrativo (Administrative Office)	0961.957811	Ufficio Personale is under Aree Amministrative 
Cardinale	protocollo@comune.cardinale.cz.it	Sindaco (Mayor)	0967/93051	General contact, inquire for Ufficio Personale 
Carlopoli	protocollo@comune.carlopoli.cz.it	Ufficio Servizi Amministrativi (Administrative Services Office)	0968 82025	Inquire within Ufficio Servizi Amministrativi 
Catanzaro	personale@comune.catanzaro.it	Dott. Antonino Ferraiolo (Dirigente)	0961 881706	Ufficio Personale e Organizzazione 
Cenadi	comune.cenadi@asmepec.it	Sindaco (Mayor)	0967 955105	General contact, inquire for Ufficio Personale 
Centrache	demografici.centrache@asmepec.it	Sindaco (Mayor)	0967955126	General contact, inquire for Ufficio Personale 
Cerva	protocollo.cerva@asmepec.it	Sindaco (Mayor)	0961939201	General contact, inquire for Ufficio Personale 
Chiaravalle Centrale	comunechiaravallecentrale@asmepec.it	Sindaco (Mayor)	096791031	General contact, inquire for Ufficio Personale 
Cicala	protocollo.cicala@asmepec.it	Sindaco (Mayor)	0968-85294	General contact, inquire for Ufficio Personale 
Conflenti	comuneconflenti@asmepec.it	Ufficio Amministrativo (Administrative Office)	0968-64054	Ufficio Amministrativo manages Personale 
Cortale	segreteria@comune.cortale.cz.it	Sindaco (Mayor)	0968 76018	General contact, inquire for Settore Bilancio e Personale 
Cropani	protocollo@comune.cropani.cz.it	Sindaco (Mayor)	0961 557636	General contact, inquire for Uffici e Servizi 
Curinga	protocollo@pec.comune.curinga.cz.it	Sindaco (Mayor)	0968-739311	General contact, inquire for Uffici e Servizi 
Davoli	comune.davoli@pcert.postecert.it	Sindaco (Mayor)	0967-535674	General contact, inquire for Uffici 
Decollatura	servizigenerali@pec.comune.decollatura.cz.it	Sindaco (Mayor)	0968-61169	General contact, inquire for Uffici 
Falerna	protocollo.falerna@asmepec.it	Ufficio del Segretario Capo (Head Secretary's Office)	0968.95477	
Feroleto Antico	segretario.feroletoantico@asmepec.it	Ufficio Ragioneria, Economato, Personale (Accounting, Purchasing, and Personnel Office)	0968425834	
